"Author_Year"	"n1s1.x"	"n1s0.x"	"n0s1.x"	"n0s0.x"	"n1ss.x"	"n0ss.x"	"study.x"	"miss.x"	"p1s1L"	"p1s1M"	"p1s1U"	"p0s1L"	"p0s1M"	"p0s1U"	"Author"	"Year"	"n111"	"n11s"	"n101"	"n10s"	"n1s1.y"	"n1ss.y"	"n011"	"n01s"	"n001"	"n00s"	"n0s1.y"	"n0ss.y"	"study.y"	"n110"	"n100"	"n010"	"n000"	"n1s0.y"	"n0s0.y"	"miss_r1"	"miss_r0"	"miss.y"	"c10sL"	"c10sM"	"c10sU"	"c01sL"	"c01sM"	"c01sU"
"17"	"Muir_2000"	11	86	9	79	97	88	17	1	0.0642084245110851	0.112291752532295	0.177226325327525	0.0545651523329362	0.100255982878995	0.165493281953433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Nafisi_2006"	24	173	19	179	197	198	18	0	0.0815924846449877	0.1203506210229	0.167363649341426	0.0620770967361798	0.0958843101760784	0.139169693009106	"Nafisi"	2006	24	197	0	0	0	197	0	0	19	198	0	198	18	173	0	0	179	0	0	0	0	0	2.08871347454707e-06	0.00183633212455141	0.0151450295243917	6.65350500301973e-08	0.00100664954152713	0.0132021172341301
"19"	"Nikkola_1997"	0	10	0	10	10	10	19	0	0.0101984043806844	0.0618857520129567	0.187918167036964	0.00938583528887483	0.0553032336338142	0.169560859131304	"Nikkola"	1997	0	10	0	0	0	10	0	4	0	6	0	10	19	10	0	4	6	0	0	0	0	0	2.79208988326417e-05	0.0177352689309921	0.167921708390313	0.121319196625477	0.345161362701303	0.639122010855856
"20"	"Philipsen_1989"	10	47	6	48	57	54	20	1	0.0892634430287109	0.158355439526369	0.252555734385367	0.0544312918768334	0.111462407994207	0.196007605808914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"Ramin_1995"	41	623	25	641	664	666	21	0	0.0456760830489869	0.0621306462335341	0.0818539576952753	0.0265715288290384	0.0393029161389544	0.0553686794651955	"Ramin"	1995	39	432	2	232	0	664	8	103	17	563	0	666	21	393	230	95	546	0	0	0	0	0	0.312328071558329	0.347799100064033	0.384540413791303	0.12786424599152	0.154126928209752	0.18265772241077
"22"	"Sharma_1997"	13	345	16	341	358	357	22	0	0.0230363264706472	0.0397215160239728	0.0626524723250445	0.0282234421851474	0.0460914357193231	0.0699244843384831	"Sharma"	1997	12	243	1	115	0	358	0	5	16	352	0	357	22	231	114	5	336	0	0	0	0	0	0.271610234868049	0.31820772398933	0.36769022629266	0.0052819642528811	0.0142352440335437	0.0301911554149338
"23"	"Sharma_2002"	16	210	20	213	226	233	23	1	0.0458498706758301	0.0739942319516836	0.110594233313643	0.0549147285746869	0.084613076027805	0.122461997068479	"Sharma"	2002	15	214	1	12	0	226	0	NA	0	219	20	NA	23	199	11	0	0	0	213	0	1	1	0.028593812186825	0.0523751654569273	0.0863893882718978	NA	NA	NA
"24"	"Shifman_2007"	15	45	18	32	60	50	24	1	0.151161673645073	0.238633969810395	0.346216738815658	0.194339915092235	0.298233331718158	0.423365035255612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"Thalme_1974"	6	8	4	10	14	14	25	1	0.138804379161622	0.282521796674771	0.48516917898457	0.0916780499624821	0.21079051290501	0.396912734466386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	"Thorp_1993"	12	36	1	44	48	45	26	1	0.112721993817706	0.196784773067582	0.311070153992803	0.0195540010510061	0.06169669831788	0.134425695660919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"Volmanen_2008"	1	24	1	26	25	27	27	0	0.0169198281659156	0.0636763394250252	0.156711881584866	0.0147405470483824	0.0560960481900369	0.140911282080281	"Volmanen"	2008	1	24	0	1	0	25	0	3	1	24	0	27	27	23	1	3	23	0	0	0	0	0	0.00368149935160061	0.0393619076699698	0.147656970206004	0.0270445914839288	0.102795155053789	0.248153134678503
