"Lower"	"Mean"	"Median"	"Upper"	"SD"	"HPD_l"	"HPD_u"
-0.059191412240709	0.0201457311041491	0.013212705165143	0.139548942384719	0.0519305203088629	-0.0682092137843907	0.120160726075116
-0.0693830293970263	-0.0200038668351291	-0.027855044451797	0.0713182719798768	0.0375033131238553	-0.0753250806525509	0.0558068398195747
-0.0653995420202697	-0.00456218805191935	-0.0102108180855008	0.0894374790065487	0.0411216886279515	-0.0720209325486114	0.0756250715007842
0.0196592527844039	0.108772042915589	0.104873368271123	0.220096732010979	0.0514699301378207	0.0129905292911767	0.211026960284262
-0.00210599340978159	0.0835420782270675	0.0787096015953851	0.196520103159313	0.0511340600690817	-0.0105410791588837	0.184124435002895
0.00903776674537073	0.0526679993627575	0.0515901388204977	0.102581947656959	0.0239094041755569	0.00672313680454806	0.0998283719086206
-0.0698105775600599	-0.00503504904145609	-0.0237461428966932	0.164228698674287	0.0629317693150874	-0.0787975760125212	0.122847319118858
-0.0320235137228496	0.0061999226179339	0.00567530693804792	0.0474810588661202	0.0203005387676052	-0.0327031338697241	0.0466933528893241
-0.0471717714639812	-0.018735733464751	-0.0196592687293494	0.0148494900951774	0.0158394990374992	-0.0488612346216546	0.0127370903184058
-0.0685241113186289	-0.0154289921345304	-0.0252335397817029	0.0913495580847256	0.0423208206289835	-0.0759468565401238	0.0703751247222577
-0.0547577847030687	0.0448220751603669	0.0439599607332595	0.162374539269344	0.0566677711861017	-0.0664760845335069	0.134309013960053
-0.0420519357787535	-0.00190593373371775	-0.00125642576680162	0.0324219276068675	0.0183289593584886	-0.0392725073034166	0.0345169850602515
-0.0628933418774983	-0.0142435260347992	-0.0136609913400632	0.0366679471089051	0.0261832809145899	-0.0658924009845271	0.0326561161205232
-0.0546638774483191	0.0713087844102192	0.0515696511353091	0.31809065125033	0.0935525483665745	-0.0711734737275927	0.255201985860221
-0.0628069847943435	0.0823628268314023	0.05641399268514	0.375653174760998	0.119596955900562	-0.0759826208583201	0.314525737898814
-0.0720214441549638	-0.026470080562571	-0.0406992112017522	0.104776142944864	0.0497251244840388	-0.0802005438531838	0.0641469918317087
-0.0635571933827207	0.0334255568804694	0.0207865697395676	0.216984653757266	0.0764101234705543	-0.0742751339464074	0.171408635873707
-0.0653039470533757	-0.0162254930262189	-0.0188446235830981	0.05093476307815	0.0326528308398204	-0.0705386562716379	0.0401441954873308
-0.0698014816320994	-0.0182916710961791	-0.0311357394811607	0.106361875396553	0.0491104830038907	-0.0786617009725625	0.0734438274108876
-0.0660956495109547	0.000621185443982839	-0.01056620976067	0.145605294163452	0.0583580887190089	-0.0757913448502846	0.10346846462679
-0.0640518367343149	0.0207022718733422	0.00266684769646382	0.239166211758088	0.0793998200240821	-0.076479376002764	0.172855749267101
-0.0646094807243924	0.0236731066264373	0.00798114113229903	0.206029520135061	0.0738990233885148	-0.074657674770836	0.163477951203878
-0.0634725984059732	0.0192801755724526	0.0117384788098937	0.159955861561137	0.0614155745972678	-0.0728170131958009	0.125763233123859
-0.0593837795280613	0.0726389458112154	0.0635807706594887	0.28442500710685	0.0910686071640897	-0.0724244625545644	0.234665569101212
-0.0688620782923653	0.00216053637799793	-0.0173411141172262	0.180972779538632	0.0686634998020349	-0.0786599652005603	0.135653871479375
-0.0627276277825214	0.110049231899394	0.072629654025774	0.471175875652478	0.147938330369529	-0.0768033768743343	0.402390799465838
0.0320236949485778	0.182170966483319	0.172567511061873	0.390078780678402	0.0905549198358138	0.0187479600112953	0.370457945945836
